# data_npc_SceneNPC — 1914 NPCs
# scene_id  unique_id   posx        posz        name

  1010      10101001      -38.19     -101.78  艾莉��?
  1010      10101002       -8.44      -23.46  卡普拉服务人��?
  1010      10101003      -40.87      -44.31  ��?笑小��?
  1010      10101004       16.62      -16.31  装�?�制作商
  1010      10101005       -8.29      -46.26  鹦鹉��?��?
  1010      10101006       39.22      -29.28  鉴定��?
  1010      10101007       11.06       22.12  魔法��?
  1010      10101008       12.58       20.46  铁匠忽克连（常驻）
  1010      10101009      -13.83      -18.18  交易行工作人��?
  1010      10101010      -17.82      -13.70  商会工作人员
  1010      10101011       10.48      -21.09  道具商人
  1010      10101012      -30.23       46.67  外�?�商��?
  1010      10101013       -8.57      -31.46  委托��?
  1010      10101014       12.65       80.51  吟游诗人
  1010      10101015      -11.99     -110.18  传信��?
  1010      10101016      -24.43      -64.45  头饰扭蛋机
  1010      10101018      -24.84      105.94  卡普拉服务人��?
  1010      10101020      -12.20       55.40  NpcName61022
  1010      10101021       28.17      -77.68  NpcName61024
  1010      10101022      -23.21        8.37  NpcName61031
  1010      10101023      -21.70      -64.51  NpcName61041
  1010      10101024      -28.50      -64.69  装备扭蛋机
  1010      10101025      -16.06      -64.51  NpcName61040
  1010      10101026      -11.39      105.46  NpcName61043
  1010      10101027       34.48      108.25  NpcName61044
  1010      10101028       72.48      -32.49  NpcName60000
  1010      10101029      -63.92      -91.91  NpcName61077
  1010      10101030       42.40       19.93  NpcName61051
  1010      10101031       42.61       16.23  NpcName61052
  1010      10101032      -27.38      -48.95  NpcName61053
  1010      10101033      -14.14       17.92  NpcName61063
  1010      10101034      -17.44       14.28  NpcName61064
  1010      10101035      -72.08      -49.49  NpcName61113
  1010      10101038      -75.79       26.39  NpcName61116
  1010      10101039      -19.15      -64.41  技能书扭蛋机
  1010      10101040      -70.97      -14.13  NpcName61080
  1010      10101041      -70.62      -18.91  NpcName61081
  1010      10101042      -72.47      -25.66  NpcName61082
  1010      10101043      -49.14     -113.66  NpcName61096
  1010      10101045       71.19      -50.84  NpcName61112
  1010      10101046       29.97      -99.30  初级MVP武器改良
  1010      10101047       29.89     -104.38  中级mvp武器改良
  1010      10101048       29.92     -110.43  初级mini饰品改良
  1010      10101049       29.81     -115.89  中级mini饰品改良
  1010      10101050      -43.71      -41.42  普隆德拉头饰商人
  1010      10102001       21.51        9.64  琪琪（出生点）
  1010      10102002       22.63        7.86  学院手册
  1010      10102003       -1.40      -13.77  琪琪（喷泉旁）
  1010      10102004        7.08      -76.31  琪琪（南门路口）
  1010      10102005        0.04        9.82  阿坎德（喷泉处）
  1010      10102006       -2.97        8.33  军备宝箱
  1010      10102007       -2.16        9.87  炼金装置
  1010      10102008       76.90      112.34  小男孩（墓地）
  1010      10102009       -0.17      136.68  伯纳德（皇宫前）
  1010      10102010        2.43      137.80  阿坎德（皇宫前）
  1010      10102011        2.41      134.59  海陆曼（伯纳德旁）
  1010      10102015      -70.25       18.29  工具箱
  1010      10102016       -4.34       62.49  沃尔玛斯
  1010      10102017      -62.18      105.78  罗德尼
  1010      10102018       -2.13       62.77  海陆曼（神像下）
  1010      10102019        1.98       63.03  伯纳德（神像下）
  1010      10102020       -7.11       74.34  维罗妮卡
  1010      10103001      -64.96       99.62  骑士团长海陆曼
  1010      10103002      -71.17       96.63  NpcName62012
  1010      10103003       48.60       83.30  NpcName62015
  1010      10103008      -51.39      120.03  NpcName62014
  1010      10103009      -40.99       45.21  NpcName62036
  1010      10104000       16.57      -46.29  NpcName60023
  1010      10104001      -32.96      -42.09  NpcName60023
  1010      10104002       -3.70      -43.75  NpcName60023
  1010      10104003      -30.46      -81.18  NpcName60023
  1010      10104004      -45.50     -111.90  NpcName60023
  1010      10104005      -54.21      -73.35  NpcName60023
  1010      10104006        8.99      -63.88  都城守卫
  1010      10104007       -9.27      -63.89  都城守卫
  1010      10104008        7.84      -44.16  都城守卫
  1010      10104009       39.84       -8.30  都城守卫
  1010      10104010       57.93       -9.69  都城守卫
  1010      10104011       57.82        8.94  都城守卫
  1010      10104012       81.57        8.30  都城守卫
  1010      10104013       81.41       -8.89  都城守卫
  1010      10104014       39.74        7.24  都城守卫
  1010      10104015        8.20       37.06  都城守卫
  1010      10104016       -8.86       36.84  都城守卫
  1010      10104017      -43.68        7.42  都城守卫
  1010      10104018      -58.54       -9.45  都城守卫
  1010      10104019      -58.56        8.35  都城守卫
  1010      10104020      -82.35       -9.55  都城守卫
  1010      10104021      -82.96        8.69  都城守卫
  1010      10104022       84.91       89.57  墓地守卫
  1010      10104026       24.93       94.64  皇�??守卫
  1010      10104027      -25.24       95.48  皇�??守卫
  1010      10104028        7.02       98.25  皇�??守卫
  1010      10104029       -7.22       98.27  皇�??守卫
  1010      10104030        5.07      108.97  皇�??守卫
  1010      10104031       -5.46      108.93  皇�??守卫
  1010      10104034      -85.57       16.02  下水道守��?
  1010      10104035      -83.94       18.64  下水道守��?
  1010      10104036      -85.67       24.41  下水道守��?
  1010      10104037       83.34      -38.50  NpcName60009
  1010      10104038       21.61      -74.91  NpcName60010
  1010      10104039       84.15      -38.35  NpcName60011
  1010      10104040       22.48      -74.90  NpcName60012
  1010      10104041       62.10      -98.40  NpcName60009
  1010      10104042      -33.88      -89.22  NpcName60010
  1010      10104043       -0.28        4.67  NpcName60011
  1010      10104044       10.47      -15.82  NpcName60012
  1010      10104045      -54.13        4.27  NpcName67080
